Deposit	District	County	State	Long	Lat	No.	Deposit Type	No.	Alternative deposit types	Environmental Model	Discovery Year	Production Dates	Production Tonnage	Tonnage Units	Production Gold oz	Production Silver oz	Production Copper lbs	Production Lead lbs	Production Zinc lbs	Other Production	"References:Production"	Resource Year	Resource Tonnage	Tonnage Units	Grade Au opt or gpt	Grade Ag opt or gpt	Grade Cu (%)	Grade Pb (%)	Grade Zn (%)	Other Grades	"References:Resources"	Comments	Operators	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Nu Layer	Tract	Map No.	Seq. No.	Active Mine	"New Mine(date production will begin)"	Active Prospect	"Best Source(for updating)"
Mormon Bar	Mormon Bar	Mariposa	CA	-119.943	37.463	39a	Placer Au-PGE				1848	1850's-1930's			"75,000"	unk	no	no	no		"Clark, 1970"														2	unk	no	no	no							PLAC	PLAC	89	554				
Morning Star	Ivanpah	San Bernardino	CA	-115.491	35.362	40a	Detachment-fault-related polymetallic				1907	1980-1990	"2,173,006"	short t	"65,832"	"108,296"	no	no	no		Vanderbilt Gold 1980-90 SEC Form 10K	1990	"5,731,000"	short t	0.05	unk	no	no	no		Vanderbilt 1990 SEC Form 10K		Vanderbilt Gold	"1,971"	2	3	no	no	no	"5,199"	8	unk	no	no	no	NONE	NONE	36	287	?			
Mount Gaines	Hornitos	Mariposa	CA	-120.177	37.540	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	~1868	1870's-1949	">206,000"	short t	"174,000"	">29,500"	neg	neg	no		"Bowen and Gray, 1957; USBM Production Data 1905-49"											 	 	>187	5	>0.9	neg	neg	no							LSGQ	PC40	67	457				
Mountaineer	Nevada City	Nevada	CA	-121.026	39.257	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein		-1913			"97,000 to 145,000"	unk	no	no	no		"Clark, 1970"														3 to 4.5	unk	no	no	no														
Murchie	Nevada City	Nevada	CA	-120.987	39.265	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein		1878-1938	"708,500"	short t	"283,000"	">841,868"	neg	neg	no		"MacBoyle, 1919; USBM Production Data 1902-31; McQuiston, 1986"													643	9	>26.2	neg	neg	no														
Nashville	Nashville	El Dorado	CA	-120.841	38.581	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	by 1851	1851-1936			"97,000"	unk	no	no	no		"Clark, 1970"											 	 		3	unk	no	no	no							LSGQ	PC40	35	425				
New York Hill	Grass Valley	Nevada	CA	-121.075	39.199	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	by 1852	1852-1894	"100,000"	short t	"73,000"	unk	no	no	no		"McQuiston, 1986"													91	2	unk	no	no	no														
North Bloomfield	North Bloomfield	Nevada	CA	-120.915	39.394	39a	Placer Au-PGE				1851	1853-1884	"30,000,000 to 40,000,000"	cu yds	">218,000"	unk	no	no	no		"Clark, 1970"		"800,000,000"	cu yds	0.005	unk	no	no	no		"Yeend, 1974"				>6.7	unk	no	no	no		124	unk	no	no	no	PLAC	PLAC	61	526				
Old Eureka	Sutter Creek	Amador	CA	-120.799	38.388	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1852	1852-1952	">902,000"	short t	"880,000"	">59,000"	no	no	no		"Anonymous, 1951; Carlson and Clark, 1954"	1942	"125,000"	short t	0.50	unk	no	no	no		"Anonymous, 1951"	Remaining resource when mine closed.	 	>818	27	>1.8	no	no	no	113	2	unk	no	no	no	LSGQ	PC40	42	432				
Omaha - Lone Jack - Homeward Bound - Wisconsin	Grass Valley	Nevada	CA	-121.063	39.187	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1855	1855-1899	"220,000"	short t	"154,000"	unk	no	no	no		"McQuiston, 1986"													200	5	unk	no	no	no														
Oneida	Jackson - Plymouth	Amador	CA	-120.787	38.374	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1851	1867-1911	">304,000"	short t	">121,000"	">9,500"	no	no	no		"Carlson and Clark, 1954; USBM Production Data 1902-1911"													>276	>3.8	>0.3	no	no	no														
Ophir	Ophir	Placer	CA	-121.124	38.905	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850s?	1850's-1930's			"242,000"	unk	no	no	no		"Clark, 1970"											 	 		8	unk	no	no	no							LSGQ	PC40	30	420				
Oriental	Alleghany	Sierra	CA	-120.858	39.460	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850s	1850's-1956			"206,000"	unk	no	no	no		"Carlson and Clark, 1956"											 	Dickey Exploration		6	unk	no	no	no							LSGQ	PC40	17	407				
Original	Clearinghouse	Mariposa	CA	-119.864	37.673	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1908	1911-1937	"175,156"	short t	"79,637"	"25,364"	340	134	no		"Bowen and Gray, 1957"													159	2	1	neg	neg	no														
Original Amador	Amador City	Amador	CA	-120.826	38.423	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1852	1852-1950	">477,000"	short t	"100,400"	">14,000"	no	no	no		"Carlson and Clark, 1954; USBM Production Data 1902-1950"											Substantial low-grade resource remains.	 	>433	3	>0.4	no	no	no							LSGQ	PC40	39	429				
Orleans (Klamath River)	Orleans (Klamath River)	Humboldt	CA	-123.541	41.381	39a	Placer Au-PGE				by 1850	1850-1930's			"138,300"	unk	no	no	no		"Tooker and Vercoutere, 1986"														4	unk	no	no	no							PLAC	PLAC	42	507				
Oro Cruz (Tumco)	Tumco	Imperial	CA	-114.810	32.887		Unclassified				1884	1895-1946	">128,000"	short t	"60,000"	">13,000"	neg	no	no		"Morton, 1977; USBM Production Data 1905-46"	1994	"7,294,000"	short t	0.05	unk	no	no	no		Hecla 1994 SEC Form 10K		Hecla - MK Gold	>116	2	>0.4	neg	no	no	"6,617"	11	unk	no	no	no	NONE	NONE	43	294		Development suspended		Hecla SEC Form 10K
Oroville	Oroville	Butte	CA	-121.627	39.413	39a	Placer Au-PGE				1849	1898-1952			"1,964,000"	unk	no	no	no		"Clark, 1970"														61	unk	no	no	no							PLAC	PLAC	58	523				
Pacific Quartz	Placerville	El Dorado	CA	-120.799	38.727	36a	Low-sulfide Au-quartz vein				1852	1852-1915			"72,000"	unk	no	no	no		"Clark and Carlson, 1956"											 	 		2	unk	no	no	no							LSGQ	PC40	33	423				
Patterson	Patterson	Mono	CA	-119.232	38.412	25c	"Epithermal vein, Comstock"				1860s	1880-1950	">87,000"	short t	">2,140"	">2,390,000"	"35,000"	"1,400"	no		"Clark, 1970; USBM Production Data 1902-50"											 	 	>79	>0.07	>74	neg	neg	no							QZAD	GB22	02	093				
Penn	Campo Seco	Calaveras	CA	-120.874	38.230	28a	"Massive sulfide, kuroko"				1861	1882-1953	"997,000"	short t	"74,000"	"2,339,000"	"81,000,000"	"1,700,000"	"24,000,000"		"Singer, 1992; Irelan, 1888; USBM Production Data 1902-53"											 	 	904	2	73	37	1	11							KVMS	PC17	02	373				
Pennsylvania - W.Y.O.D.	Grass Valley	Nevada	CA	-121.055	39.209	36a	Low-sulfide Au-quartz vein				1870	1890-1909	">161,000"	short t	"135,000"	unk	no	no	no		"Johnston, 1940"													>146	4	unk	no	no	no														
Picacho	Picacho	Imperial	CA	-114.649	32.962	40a	Detachment-fault-related polymetallic	25a	Hot-spring Au-Ag		1861	1861-1996	"17,000,000"	short t	"612,000"	unk	no	no	no		"Glamis Gold 1985-92 SEC Form 20F and 1993-96 SEC Form 10K; Sharp, 1934"	1996	"1,142,300"	short t	0.04	unk	no	no	no		Glamis Gold 1996 SEC Form 10K		Glamis Gold	"15,400"	19	unk	no	no	no	"1,036"	1	unk	no	no	no	HTSG	SB37	03	794	Yes			Glamis Gold SEC Form 10K
Pinacate (Perris)	Pinacate (Perris)	Riverside	CA	-117.322	33.773	22c	"Vein, polymetallic"			Polymetallic vein and replacement	1874	1876-1952			">53,000"	neg	neg	neg	no		"Clark, 1970; USBM Production Data 1902-52"											 	 		>1.6	neg	neg	neg	no							PMV	PMVN	49	666				
Pine Tree-Josephine	Bagby	Mariposa	CA	-120.119	37.588	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1848	1860-1944	">540,000"	short t	">194,000"	">20,000"	neg	no	no		"Bowen and Gray, 1957; Smith and others, 1987"		"9,549,000"	short t	0.07	unk	no	no	no		Randol 1996	 	Goldenbell Mining	490	>6	>0.6	neg	no	no	"8,663"	19	unk	no	no	no	LSGQ	PC40	66	456				
Placerville	Placerville	El Dorado	CA	-120.087	38.725	39a	Placer Au-PGE				1848	1848-1930's			"1,200,000"	unk	no	no	no		"Clark and Carlson, 1956"														38	unk	no	no	no							PLAC	PLAC	76	541				
Plumas-Eureka	Johnsville	Plumas	CA	-120.708	39.758	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850	1851-1944			">387,000"	unk	neg	neg	no		"Clark, 1970"											 	 		12	unk	neg	neg	no							LSGQ	PC40	12	402				
Plumbago (Croesus)	Alleghany	Sierra	CA	-120.813	39.452	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein		1875-1928	">152,000"	short t	"169,000"	">7,800"	no	no	no		"Clark, 1970"											 	 	>138	5	>0.24	no	no	no							LSGQ	PC40	19	409				
Plymouth	Jackson - Plymouth	Amador	CA	-120.843	38.475	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1852	1852-1943	"2,150,000"	short t	"656,000"	">76,000"	neg	no	no		"Logan, 1927; Perry and Moehlman, 1943; USBM Production Data 1914-1943"											 	 	"1,950"	20	>2.4	neg	no	no							LSGQ	PC40	36	426				
Pocket Belt	Pocket Belt	Tuolumne	CA	-120.345	37.962	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1851	1851-1940			"267,000"	unk	no	no	no		"Julihn and Horton, 1940"											 	 		8	unk	no	no	no							LSGQ	PC40	58	448				
Poker Flat	Poker Flat	Sierra	CA	-120.844	39.693	39a	Placer Au-PGE				1850s	1850's-1930's			"677,000"	unk	no	no	no		"Clark, 1970"											Production for Howland Flat portion of district only.			21	unk	no	no	no							PLAC	PLAC	54	519				
Potholes	Potholes	Imperial	CA	-114.504	32.829	39a	Placer Au-PGE				1780	1780-1930's			"97,000"	unk	no	no	no		"Clark, 1970"														3	unk	no	no	no														
Princeton	Mount Bullion	Mariposa	CA	-119.970	37.502	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1852	1859-1927	">497,000"	short t	"213,000 to 290,000"	unk	no	no	no		"Bowen and Gray, 1957; Julihn and Horton, 1940"											 	 	>451	6.6 to 9	unk	no	no	no							LSGQ	PC40	69	459				
Rainbow	Alleghany	Sierra	CA	-120.834	39.464	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein		1850's-1918			"121,000"	unk	no	no	no		"Clark, 1970"											 	 		4	unk	no	no	no							LSGQ	PC40	18	408				
"Rand (Baltic-Lamont, Yellow Aster)"	Randsburg	Kern	CA	-117.661	35.357	25d	"Epithermal vein, Sado"			"Creede, Comstock and Sado epithermal vein"	1895	1897-1996	"40,541,400"	short t	"1,087,000"	">171,000"	no	no	no		Glamis Gold 1985-92 SEC Form 20F and 1993-96 SEC Form 10K	1996	"88,293,000"	short t	0.02	unk	no	no	no		Glamis Gold 1996 SEC Form 10K		Glamis Gold	"36,779"	34	>5.3	no	no	no	"80,098"	58	unk	no	no	no	SADO	SB31	"03
04"	"785
786"	Yes			Glamis Gold SEC Form 10K
Red Cloud	Kinsley	Mariposa	CA	-120.085	37.739	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein		1880-1895			"73,000"	unk	no	no	no		"Bowen and Gray, 1957"											 	 		2	unk	no	no	no							LSGQ	PC40	61	451				
Reid	Old Diggings	Shasta	CA	-122.429	40.661	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein		1800's-1940	">106,000"	short t	"121,000"	">114,300"	no	no	no		"Hotz, 1971; USBM Production Data 1905-1940"	1984	"400,000"	metric t	13.37	unk	no	no	no		"MM, 8/1984,  v. 151, no. 2, p. 89"	 		96	1	4	no	no	no	400	5	unk	no	no	no	LSGQ	PC40	08	398				
Rich Bar	Rich Bar	Plumas	CA	-121.185	40.022	39a	Placer Au-PGE				1850	1850-1860's			"435,000"	unk	no	no	no		"Clark, 1970"														14	unk	no	no	no														
Rich Gulch	Butt Valley	Plumas	CA	-121.143	40.046	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850s?	1933-1942			"77,000"	unk	no	no	no		"Tooker and Vercoutere, 1986"	1993	"10,100,000"	short t	0.07	unk	no	no	no		Randol 1996	 	Northgate Exploration		2	unk	no	no	no	"9,200"	22	unk	no	no	no	LSGQ	PC40	11	401			?	
Rising Sun	Colfax	Placer	CA	-120.968	39.107	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1866	1866-1884			">97,000"	unk	no	no	no		"Clark, 1970"												Brush Creek Mining & Development		3	unk	no	no	no							LSGQ	PC40	27	417				
Royal-Mountain King	Hodson (Madam Felix)	Calaveras	CA	-120.689	38.002	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1858	1885-1995	">6,184,000"	short t	"433,000"	">313,000"	no	no	no		"Fuller and others, 1996; USBM Production Data 1902-53; FMC Gold SEC Form 10K 1990-94"	1988										Reserves depleted 1995.	FMC Gold	">5,610"	14	10	no	no	no							LSGQ	PC40	56	446	Shut down	Reclaimed 1998		
Salmon River	Salmon River	Siskiyou	CA	-123.180	41.379	39a	Placer Au-PGE				1849	1849-1930's			"1,400,000"	unk	no	no	no		"Clark, 1970"														44	unk	no	no	no							PLAC	PLAC	43	508				
San Gabriel	San Gabriel (Mount Baldy)	Los Angeles	CA	-117.752	34.275	39a	Placer Au-PGE				1848	1848-1956			"115,000"	unk	no	no	no		"Koschmann and Bergendahl, 1968"														4	unk	no	no	no							PLAC	PLAC	96	561				
San Juan Ridge	Badger Hill - North Columbia - North San Juan	Nevada	CA	-120.750	39.333	39a	Placer Au-PGE				1849	1850-1896	"25,000,000"	cu yds	"107,000 to 155,000"	unk	no	no	no		"Clark, 1970; Siskon Gold 1996 SEC Form 10K"	1984	"60,000,000"	cu yds	0.02	unk	no	no	no		"Siskon Gold 1996 SEC Form 10K; Placer Service Corp., 1984"		Siskon Gold		3.3 to 4.8	unk	no	no	no		28	unk	no	no	no	PLAC	PLAC	63	528			Yes	Siskon Gold SEC Form 10K
Scotts Flat	Scotts Flat	Nevada	CA	-120.867	39.417	39a	Placer Au-PGE				1850s	1850's-1880's	"53,750,000"	cu yds	sig	unk	no	no	no		"Lindgren, 1911; Jarman, 1927"		"5,000,000"	cu yds	0.01	unk	no	no	no		"Yeend, 1974"	"Resource much larger with up to 140,000,000 cu yds material of unknown grade."			sig	unk	no	no	no		1	unk	no	no	no								
Sentinal Peak		Inyo	CA	-117.122	36.097		Unclassified						unk		unk	unk	unk	unk	unk				"600,000 to 800,000"	short t	up to .05	22.00	1.00	1.00			"Vredenburgh, 1988"			unk	unk	unk	unk	unk	unk	540 to 725	<1.2	411 to 547	5 to 7	5 to 7									
Shaws Flat	Sonora	Tuolumne	CA	-120.416	38.009	39a	Placer Au-PGE				1848	1848-1899			"290,000"	unk	no	no	no		"Clark, 1970"														9	unk	no	no	no														
Sheep Ranch	Sheep Ranch	Calaveras	CA	-120.469	38.212	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1868	1870's-1952	"640,000"	short t	"294,000"	">18,000"	"13,680"	no	no		"Julihn and Horton, 1938; USBM Production Data 1902-52"											 	 	581	9	>0.6	neg	no	no							LSGQ	PC40	49	439				
Shoshone	Resting Springs (Tecopa)	Inyo	CA	-116.101	35.826	19a	Polymetallic replacement		Mississippi Valley	Polymetallic vein and replacement	by 1883	1907-1957	"402,000"	short t	"41,700"	"2,698,000"	"537,000"	"96,985,000"	"3,884,000"		USBM Production Data 1902-57	1976?	"300,000"	short t	unk	2.50	unk	6.00	6.80		"Long, 1992, Randol, 1996"	"Additional production of more than 3,600 short t ore after 1960 by lessees. Potential resource of 0.9 to 1.8 million st of unknown grade."	Sikaman Gold	365	1	84	neg	44	2	270	unk	23	unk	16	19	PMR1	SB18	01	747				
Sierra Buttes	Sierra City	Sierra	CA	-120.643	39.574	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850	1870-1942	">250,000"	short t	"854,000 to 1,287,000"	">9,000"	no	no	no		"Clark, 1970; USBM Production Data 1902-42"											 	 	>230	27 to 40	>0.3	no	no	no							LSGQ	PC40	13	403				
Silverado - Palisade	Calistoga	Napa	CA	-122.604	38.652	25a	Hot-spring Au-Ag 				by 1872	1876-1948	">103,000"	short t	"36,000"	"2,598,000"	"40,000"	"4,700"	no		"Clark, 1970; USBM Production Data 1925-41"											 	 	>93	1	81	neg	neg	no							HTSG	PC34	03	386				
Siskon	Dillon Creek	Siskiyou	CA	-123.642	41.579	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1917	1953-1960	">300,000"	short t	"100,000"	"1,000,000"	no	no	no		Randol 1996											"Gossan mined for Au 1953-1960.  Substantial sulfide resource remains, perhaps up to 3,000,000 short t material."	Amada Mineral	>270	3	31	no	no	no														
Sixteen-to-one	Alleghany	Sierra	CA	-120.843	39.466	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1896	1896-1996	">1,067,000"	short t	">1,100,000"	">128,000"	no	no	no		Original Sixteen-to-One Mine 1996 SEC Form 10K												Original Sixteen to One Mine	>968	>34	>4	no	no	no							LSGQ	PC40	16	406	Yes			None
Skidoo	Emigrant (Skidoo)	Inyo	CA	-117.147	36.336		"Vein, Au-quartz, peraluminous granite"				1908	1908-1955	"123,000"	short t	"69,000"	"70,000"	neg	"9,000"	no		USBM Minerals Yearbook and Production Data 1908-1955										"Fyfe, 1980"	Within Death Valley National Park		112	2	2.2	neg	neg	no		3	5	neg	neg	neg	LSGP	LSGP	04	237				
Sliger	Greenwood	El Dorado	CA	-120.932	38.941	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1864	1870's-1942	">320,000"	short t	"138,000"	">5,000"	neg	no	no		"Clark and Carlson, 1956"											 	 	>291	4	>0.2	neg	no	no							LSGQ	PC40	28	418				
Smartsville	Smartsville	"Yuba, Nevada"	CA	-121.866	39.208	39a	Placer Au-PGE				1854	1855-1879			"629,000"	unk	no	no	no		"Clark, 1970"														20	unk	no	no	no														
Snelling	Snelling	Merced	CA	-120.466	37.510	39a	Placer Au-PGE				by 1850	1907-1952	"170,000,000"	cu yds	"486,000"	unk	no	no	no		"Orris and Bliss, 1985; Clark, 1970"														15	unk	no	no	no							PLAC	PLAC	88	553				
Soledad Mountain	Mohave	Kern	CA	-118.169	34.980	25d	"Epithermal vein, Sado"			"Creede, Comstock and Sado epithermal vein"	1894	1902-1959	"1,225,000"	short t	"296,357"	"4,018,995"	neg	no	no		USBM Production Data 1902-59	1997	"47,700,000"	metric t	0.87	12.8	no	no	no		"NM 11/17/97, p.12"		Golden Queen	"1,111"	9	125	neg	no	no	"47,700"	42	611	no	no	no	SADO	SB31	05	787		2Q/1999		Golden Queen AIF
Sonora	Sonora	Tuolumne	CA	-120.383	37.987	39a	Placer Au-PGE				1848	1848-1860's			"532,000"	unk	no	no	no		"Clark, 1970"														17	unk	no	no	no														
Soulsby	Soulsbysville	Tuolumne	CA	-120.261	37.988	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1858				"266,000"	unk	no	no	no		"Clark, 1970"											 	 		8	unk	no	no	no							LSGQ	PC40	57	447				
South Eureka	Sutter Creek	Amador	CA	-120.795	38.380	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein		1891-1918	">1,148,000"	short t	"256,500"	">51,000"	no	no	no		"Carlson and Clark, 1954; USBM Production Data 1902-1918"											 	 	"1,041"	8	>1.6	no	no	no							LSGQ	PC40	44	434				
South United	Soulsbysville	Tuolumne	CA	-120.386	38.071	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein					"82,000"	unk	no	no	no		"Clark, 1970"														3	unk	no	no	no							LSGQ	PC40	57	447				
Spanish	Washington	Nevada	CA	-120.786	39.382	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1883	1931-1944	"159,115"	short t	"31,679"	"430,114"	"590,514"	"812,140"	"184,335"		USBM Production Data 1931-44	1989	"2,400,000"	short t	0.05	unk	unk	unk	unk		AMH 1996 entry for International Panorama Resources	"An additional 300,000 oz Au potential reserve."	International Panorama Resources	144	1	13	neg	neg	neg	"2,200"	4	unk	unk	unk	unk								
Standard Hill	Mohave - Rosamond	Kern	CA	-118.170	35.006	25e	"Epithermal Au, quartz-alunite"			Epithermal quartz-alunite Au	1894	1902-1988	"800,000"	short t	"81,306"	"421,089"	no	no	no		Randol 1988-90; USBM Production Data 1902-56											Reserves depleted 1988.	Billeton	730	3	13	no	no	no											Shut down?			
Stonewall	Cuyamaca	San Diego	CA	-116.569	32.983	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1870	1870-1908			"100,000"	unk	no	no	no		"Weber, 1963"											 	 		3	unk	no	no	no							LSGQ	PC40	75	465				
Sulfide Ridge	Lights Creek	Plumas	CA			17	Porphyry Cu				1968?		no		no	no	no	no	no			1972	">10,000,000"	short t	unk	unk	0.25	no	no		"Amex, 1972"	Much additional material at the same grade.	California-Engels Mining	no	no	no	no	no	no	">9,000"	unk	unk	>23	no	no								
Sultana - Orleans	Grass Valley	Nevada	CA	-121.038	39.194	36a	Low-sulfide Au-quartz vein				by 1856	1864-1942	"400,000"	short t	"364,000"	unk	no	no	no		"McQuiston, 1986"													360	11	unk	no	no	no														
Superior	Lights Creek	Plumas	CA			17	Porphyry Cu				1964		no		no	no	no	no	no			1972	"100,000,000"	short t	0.001	0.03	0.33	no	no		"Amex, 1972"		California-Engels Mining	no	no	no	no	no	no	"91,000"	3	93	299	no	no								
Telegraph	Halloran Springs	San Bernardino	CA	-115.830	35.383		Unclassified				1930	1932-1938	">19,000"	short t	"4,800"	unk	no	no	no		"Tucker and Sampson, 1943"	1990	"720,000"	short t	0.51	1.16	no	no	no		Randol 1990	An additional 1.6 million st possible reserve of unstated grade.	Cascade Energy & Metals - Telegraph Gold	>17	0.1	unk	no	no	no	653	11	26	no	no	no								
Trinity River Basin	Trinity River Basin	Trinity	CA	-123.014	40.956	39a	Placer Au-PGE				by 1851	1850's-?			"1,750,000"	unk	no	no	no		"Yeend and Shawe, 1989"														54	unk	no	no	no							PLAC	PLAC	44	509				
Tropico Hill	Mohave - Rosamond	Kern	CA	-118.231	34.878	25e	"Epithermal Au, quartz-alunite"			Epithermal quartz-alunite Au	1894	1902-1956	"343,000"	short t	"135,540"	"259,374"	neg	neg	no		USBM Production Data 1902-56													311	4	8	no	no	no														
Union - Church	El Dorado	El Dorado	CA	-120.827	38.648	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850s?	1885-1939	">211,000"	short t	"131,000 to 242,000"	">7,000"	no	no	no		"Clark and Carlson, 1956; USBM Production Data 1902-39"											 	 	>191	4 to 7.5	>0.2	no	no	no							LSGQ	PC40	34	424				
Utica	Angels Camp	Calaveras	CA	-120.588	38.087	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	~1849	1860's-1939	">2,815,000"	short t	"861,000"	">42,400"	no	no	no		"Clark and Lydon, 1962; USBM Production Data 1902-39"											 	Mother Lode Gold Mines Consolidated	">2,554"	27	>1.3	no	no	no							LSGQ	PC40	51	441				
Volcano	Volcano	Amador	CA	-120.508	38.459	39a	Placer Au-PGE				by 1849	1849-1932			"100,000"	unk	no	no	no		"Koschmann and Bergendahl, 1968"											Production estimated.			3	unk	no	no	no							PLAC	PLAC	80	545				
Walker	Lights Creek	Plumas	CA	-120.668	39.962		"Vein, Cu"				1904	1916-1949	"5,311,000"	short t	"171,838"	"3,437,078"	"158,593,350"	no	no		"Long, 1995"											Substantial resource of uknown size and grade remains.		"4,818"	5	107	72	no	no														
Washington	Hornitos	Mariposa	CA	-120.224	37.526	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850	1852-1954			"115,000"	unk	neg	neg	no		"Bowen and Gray, 1957"											 	 		4	unk	neg	neg	no							LSGQ	PC40	68	458				
Waterloo-Langtry	Calico	San Bernardino	CA	-116.906	34.976	25c	"Epithermal vein, Comstock"			"Creede, Comstock and Sado epithermal vein"	1881	1881-1896				"15,000,000 to 20,000,000"				">150,000 short t barite"	"Feiss and others, 1996"	1980's	"60,000,000"	short t	neg	2.75 to 3.6				10% barite	"Tarman and Jessey, 1994"	Production for district. Resource at Waterloo-Langtry deposits.	Pan American Minerals		unk	466 to 622	neg	neg	neg	"54,000"	neg	51 to 67				QZAD	SB27	01	768			Being promoted	
